schema,text,process,pull,push
S4,1Ko,1.8939460000000001,0.038507,1.116211
S4,1Ko,1.9477849999999999,0.034172999999999995,0.676846
S4,1Ko,1.950304,0.03133,0.610575
S4,1Ko,1.943288,0.033257999999999996,0.610499
S4,1Ko,1.9449959999999997,0.170811,0.586963
S4,1Ko,1.9635449999999999,0.030492,0.6124499999999999
S4,5Ko,3.4893620000000003,0.033849,1.264219
S4,5Ko,3.500427,0.035665,1.097341
S4,5Ko,3.523961,0.032902,1.0522179999999999
S4,5Ko,3.52648,0.035317,0.9748530000000001
S4,5Ko,3.5188050000000004,0.03875,1.10052
S4,5Ko,3.5372030000000003,0.034501,1.103097
S4,5Ko,3.4740010000000003,0.03794,1.065661
S4,5Ko,3.4834810000000003,0.034015000000000004,1.697076
S4,5Ko,3.532864,0.033765,1.155799
S4,5Ko,3.53564,0.035862000000000005,1.101589
S4,5Ko,3.530629,0.16509000000000001,1.3984860000000001
S4,5Ko,3.500693,0.042298,1.069507
S4,5Ko,3.524498,0.036466,1.21669
S4,5Ko,3.527349,0.060181,1.066216
S4,5Ko,3.5384280000000006,0.036883,1.1720549999999998
S4,5Ko,3.536928,0.033247,1.139762
S4,5Ko,3.5250529999999998,0.15398699999999999,1.388731
S4,5Ko,3.5285539999999997,0.038432,1.455725
S4,5Ko,3.5555079999999997,0.034768,1.7840539999999998
S4,5Ko,3.548934,0.034822,1.840236
S4,5Ko,3.526977,0.03568,1.210565
S4,5Ko,3.4916269999999994,0.035326,1.2901179999999999
S4,5Ko,3.534661,0.036036,1.1855120000000001
S4,5Ko,3.526771,0.040554,1.141166
S4,5Ko,3.516298,0.035568999999999996,1.050557
S4,5Ko,3.5164869999999997,0.035191,1.039391
S4,5Ko,3.528488,0.036194000000000004,1.5918649999999999
S4,5Ko,3.51992,0.165549,1.483205
S4,5Ko,3.5433310000000002,0.037217,1.735609
S4,5Ko,3.5218610000000004,0.034248,1.10047
S4,12Ko,6.936774,0.046237,2.085147
S4,12Ko,6.829426,0.044669,2.203332
S4,12Ko,6.913525,0.165017,2.108238
S4,12Ko,6.9622209999999995,0.043054999999999996,1.907292
S4,12Ko,6.897391000000001,0.041299,1.990009
S4,12Ko,6.822582,0.04095,2.0475499999999998
S4,12Ko,6.816159,0.186885,1.86051
S4,12Ko,6.952875,0.040778,2.301675
S4,12Ko,6.770415,0.0448,1.889285
S4,12Ko,6.8589459999999995,0.041216,1.796881
S4,12Ko,6.862928,0.16647599999999999,2.073415
S4,12Ko,6.851284,0.042103,2.12715
S4,12Ko,6.9381390000000005,0.042006,1.750357
S4,12Ko,6.902463,0.040506,1.7288139999999999
S4,12Ko,6.934337,0.19090400000000002,2.857316
S4,12Ko,6.91477,0.042918,1.728105
S4,12Ko,6.910680999999999,0.057161000000000003,2.65196
S4,12Ko,6.8924319999999994,0.047277,2.584181
S4,12Ko,6.916277,0.17446799999999998,2.025251
S4,12Ko,6.94215,0.043237,2.10298
S4,12Ko,6.912364999999999,0.043048,1.955548
S4,12Ko,6.977183,0.042505,1.8427189999999998
S4,12Ko,6.896127999999999,0.218771,1.764998
S4,12Ko,6.948063,0.040767,1.940099
S4,12Ko,6.953595999999999,0.042305999999999996,1.907368
S4,12Ko,6.888627,0.042799000000000004,1.9051269999999998
S4,12Ko,6.919627,0.208497,2.00251
S4,12Ko,6.966618,0.043808,1.743468
S4,12Ko,6.9415379999999995,0.041389999999999996,1.806027
S4,12Ko,6.934376,0.041967,2.2288
