duration_seconds,cpu0_package_joules,cpu0_dram_joules,cpu1_package_joules,cpu1_dram_joules,schema,text
3.287702,323.906555,41.255517,307.106445,39.395725,S5,1Ko
3.318311,325.762817,41.558059,310.271057,39.808978,S5,1Ko
3.287389,323.908386,41.257720,306.372864,39.321933,S5,1Ko
3.471624,341.736572,43.573712,323.745911,41.492514,S5,1Ko
3.245369,319.253052,40.703018,303.308960,38.834598,S5,1Ko
3.169677,311.477966,39.695116,296.689941,37.982724,S5,1Ko
3.019233,297.048950,37.888124,282.333496,36.176666,S5,1Ko
3.321589,326.658875,41.674538,310.204895,39.720131,S5,1Ko
3.228099,317.820129,40.552053,301.271118,38.580725,S5,1Ko
3.078099,303.798645,38.754013,286.610657,36.717613,S5,1Ko
3.463634,340.593506,43.476587,323.288147,41.434389,S5,1Ko
3.169458,312.127136,39.873697,295.524170,37.926864,S5,1Ko
3.661654,359.558350,45.943942,341.317444,43.667240,S5,1Ko
3.255046,319.890747,40.813852,304.048523,38.987934,S5,1Ko
3.009911,296.449036,37.773558,281.539917,36.129420,S5,1Ko
3.104162,305.502380,38.966392,290.106018,37.180239,S5,1Ko
3.137967,308.852844,39.394165,293.309875,37.598266,S5,1Ko
3.361148,330.499451,42.162195,314.046997,40.206258,S5,1Ko
3.248852,319.654907,40.821670,303.177246,38.807869,S5,1Ko
3.041780,299.134399,38.140697,284.455933,36.472997,S5,1Ko
3.853078,378.188599,48.250126,358.998047,45.948532,S5,1Ko
3.256201,320.992126,41.012124,304.271851,39.062981,S5,1Ko
3.632994,356.294861,45.447273,340.111938,43.444243,S5,1Ko
3.036412,298.801819,38.076880,283.713562,36.272368,S5,1Ko
3.254066,319.916138,40.792401,304.058167,38.948980,S5,1Ko
3.053403,300.756104,38.359885,285.198425,36.521467,S5,1Ko
3.107727,305.912720,38.988271,289.726013,37.185870,S5,1Ko
5.803153,571.036194,72.924375,540.230164,69.126287,S5,5Ko
6.223660,611.379700,78.116736,581.363464,74.613357,S5,5Ko
6.657034,654.971130,83.626985,620.356384,79.580150,S5,5Ko
6.322186,617.160461,79.526202,596.917725,75.858532,S5,5Ko
6.398951,629.940918,80.440484,596.481262,76.500627,S5,5Ko
6.482887,635.149841,81.454507,609.121521,77.485886,S5,5Ko
6.216377,614.559082,78.581244,582.348938,74.772706,S5,5Ko
6.216790,613.066101,78.086304,580.038757,74.348652,S5,5Ko
6.764078,660.021301,84.931922,637.266418,80.823459,S5,5Ko
6.774735,665.057922,85.132030,631.814209,80.968946,S5,5Ko
6.067223,597.245667,76.377631,565.996826,72.495087,S5,5Ko
6.629915,651.656921,83.210993,618.259033,79.216928,S5,5Ko
6.144836,604.073730,77.410396,573.740417,73.442264,S5,5Ko
6.572643,646.114014,82.690196,612.828369,78.474358,S5,5Ko
6.565827,643.311462,82.479913,615.197632,78.395792,S5,5Ko
6.673776,653.479675,83.982633,625.127441,79.593782,S5,5Ko
6.366117,624.682251,80.074447,596.039429,75.967285,S5,5Ko
7.128954,698.260071,89.377429,668.277039,85.016883,S5,5Ko
6.506179,638.901123,81.924095,609.666016,77.615906,S5,5Ko
6.248028,613.166687,78.582697,585.786499,74.626056,S5,5Ko
6.121835,600.918762,76.980650,573.779968,73.038421,S5,5Ko
6.448492,631.857056,81.020186,604.494324,76.964217,S5,5Ko
6.290289,617.032532,79.093580,590.118103,75.113177,S5,5Ko
6.698385,656.509155,84.217351,627.188904,79.872319,S5,5Ko
7.130577,699.858032,89.570698,667.593933,84.949624,S5,5Ko
6.165330,605.776001,77.452303,576.772095,73.827794,S5,5Ko
6.165248,607.364136,77.538533,574.781616,73.532703,S5,5Ko
6.493155,633.928223,81.186237,610.437866,77.985110,S5,5Ko
6.741735,661.367310,84.781048,631.669556,80.465240,S5,5Ko
6.465587,633.284119,81.178832,606.019226,77.222512,S5,5Ko
12.414699,1209.328979,155.584109,1172.687256,147.911205,S5,12Ko
12.161267,1194.849121,152.620667,1135.314514,144.514528,S5,12Ko
12.331100,1210.102966,154.503883,1151.907227,146.932831,S5,12Ko
12.577278,1229.808838,157.202818,1178.104675,150.265232,S5,12Ko
12.289660,1203.869873,153.935151,1150.722778,146.682110,S5,12Ko
12.159921,1197.786682,152.680276,1136.069031,144.973498,S5,12Ko
12.395103,1220.077576,155.667907,1157.099304,147.491954,S5,12Ko
12.649064,1237.835083,157.844852,1185.066650,151.559230,S5,12Ko
12.255683,1203.057922,153.882427,1146.532776,146.400131,S5,12Ko
12.693726,1245.075012,159.140135,1187.914307,151.204637,S5,12Ko
12.057885,1173.148071,151.178765,1143.645569,144.359050,S5,12Ko
12.402911,1219.746643,155.738149,1158.217896,147.523044,S5,12Ko
12.370871,1216.292480,155.278736,1155.412781,147.178549,S5,12Ko
12.478961,1221.924683,156.040798,1170.076050,149.233063,S5,12Ko
12.262326,1191.872375,153.473137,1164.092896,146.530716,S5,12Ko
11.821259,1159.702148,148.340125,1107.225464,140.897853,S5,12Ko
13.610786,1326.869934,170.772449,1284.112305,162.024200,S5,12Ko
12.494685,1216.267700,156.614151,1184.070129,149.056394,S5,12Ko
13.048619,1282.787720,163.821216,1215.009155,155.145182,S5,12Ko
12.352937,1216.283997,155.346255,1150.516602,146.990497,S5,12Ko
11.744228,1157.166199,147.487165,1095.955383,139.893515,S5,12Ko
12.222075,1205.407593,153.702989,1137.804565,145.167134,S5,12Ko
11.669354,1146.230530,145.680021,1093.946167,139.808906,S5,12Ko
12.064935,1189.854370,151.709246,1123.588745,143.480309,S5,12Ko
12.087310,1188.901306,151.523045,1127.837463,144.105345,S5,12Ko
11.968758,1180.669250,150.330716,1115.020508,142.574962,S5,12Ko
11.940430,1175.887085,149.512426,1115.738586,142.774276,S5,12Ko
11.609040,1144.052246,145.843425,1081.764526,138.242936,S5,12Ko
12.214274,1203.749207,153.327175,1137.452393,145.248989,S5,12Ko
12.036765,1186.624390,151.118880,1120.742432,143.290865,S5,12Ko
2.862065,280.448486,36.156195,267.808167,34.424189,S3,1Ko
2.120505,208.389832,26.834655,198.011963,25.494176,S3,1Ko
2.077900,203.082581,26.260966,195.653503,24.995977,S3,1Ko
2.061419,201.080322,26.053636,194.960632,24.851163,S3,1Ko
2.045332,200.714600,25.860213,191.639832,24.684194,S3,1Ko
2.196567,215.158325,27.769760,205.413574,26.480919,S3,1Ko
2.053714,201.892273,25.981863,192.361328,24.779666,S3,1Ko
2.036991,199.728882,25.760013,190.734985,24.548773,S3,1Ko
2.079763,202.973511,26.277077,196.590759,25.079179,S3,1Ko
2.170137,211.985840,27.388805,204.368835,26.097164,S3,1Ko
2.051439,201.268555,25.942053,191.837891,24.686045,S3,1Ko
1.986110,195.060181,25.139017,185.708557,23.926140,S3,1Ko
2.004907,197.410339,25.375570,187.440918,24.140264,S3,1Ko
2.253556,221.364014,28.475060,210.515564,27.057729,S3,1Ko
2.028926,197.672119,25.645814,192.120300,24.519612,S3,1Ko
2.070977,203.710022,26.180840,193.536255,24.942611,S3,1Ko
2.427200,237.391541,30.572934,227.903015,29.233710,S3,1Ko
2.072300,203.434326,26.199812,193.546753,24.896986,S3,1Ko
2.145239,210.867615,27.158984,200.135742,25.776690,S3,1Ko
1.979059,194.275574,25.039001,185.543030,23.847758,S3,1Ko
2.112810,207.596069,26.724265,197.424377,25.437566,S3,1Ko
2.128522,209.535583,26.922109,198.933716,25.625618,S3,1Ko
2.113490,207.623474,26.702968,197.967285,25.467584,S3,1Ko
2.011010,197.626709,25.445292,187.872314,24.178406,S3,1Ko
2.128775,208.942017,26.868468,199.434387,25.616101,S3,1Ko
1.969125,194.088318,24.887592,184.160034,23.669528,S3,1Ko
2.030673,199.447510,25.726889,190.278809,24.503623,S3,1Ko
1.976692,194.095337,25.011767,185.109863,23.838333,S3,1Ko
2.054583,202.019775,25.951692,192.656555,24.768344,S3,1Ko
2.263614,222.013672,28.571801,211.728821,27.218884,S3,1Ko
4.620053,454.585022,58.071135,431.586426,55.194597,S3,5Ko
4.652654,456.811829,58.422928,435.056458,55.666464,S3,5Ko
5.229783,513.457581,65.725174,489.066101,62.596400,S3,5Ko
4.713641,457.902344,59.106073,448.485596,56.586775,S3,5Ko
4.809880,469.802490,60.564239,453.606262,57.502021,S3,5Ko
5.456796,530.207031,68.376128,517.132263,65.482745,S3,5Ko
5.271326,511.648071,65.958438,500.011230,63.226164,S3,5Ko
4.788436,471.177612,60.282321,448.112000,57.266783,S3,5Ko
4.942877,480.742371,62.018978,468.849060,59.160372,S3,5Ko
4.504226,444.011292,56.854479,419.699585,53.887365,S3,5Ko
4.804615,473.596802,60.566611,448.657776,57.359057,S3,5Ko
4.886927,481.057312,61.470841,456.844238,58.487677,S3,5Ko
4.661496,460.457947,58.703805,434.297119,55.645381,S3,5Ko
4.858900,478.300476,61.285037,453.002991,58.001887,S3,5Ko
4.656433,458.354675,58.575438,435.291443,55.764461,S3,5Ko
4.901433,483.516602,61.730650,456.855347,58.396795,S3,5Ko
4.656557,459.217407,58.708426,434.143066,55.528397,S3,5Ko
5.037973,495.050537,63.420412,470.428467,60.134676,S3,5Ko
4.647177,457.662598,58.525529,434.526001,55.587164,S3,5Ko
4.652402,458.932983,58.766122,433.606628,55.533171,S3,5Ko
4.796032,471.759705,60.414789,448.372803,57.427785,S3,5Ko
4.496677,443.104675,56.662494,419.906433,53.888405,S3,5Ko
4.795989,472.040894,60.420327,447.965027,57.216676,S3,5Ko
4.894855,482.373352,61.697801,456.198425,58.390767,S3,5Ko
4.994571,487.885071,63.120349,472.292725,59.881201,S3,5Ko
